mu, blueshift
0.9932157394843962, -0.15844155844155844
0.9674355495251018, -0.15844155844155844
0.9294436906377205, -0.15151515151515152
0.903663500678426, -0.15844155844155844
0.8683853459972863, -0.15151515151515152
0.8344640434192673, -0.15151515151515152
0.7964721845318861, -0.15151515151515152
0.757123473541384, -0.1445887445887446
0.7272727272727273, -0.1445887445887446
0.6987788331071914, -0.1445887445887446
0.666214382632293, -0.1341991341991342
0.6295793758480326, -0.12380952380952381
0.5997286295793759, -0.11341991341991343
0.5698778833107192, -0.10303030303030304
0.5400271370420624, -0.08571428571428573
0.5101763907734058, -0.06493506493506496
0.480325644504749, -0.0406926406926407
0.45318860244233383, -0.012987012987012991
0.4274084124830394, 0.01818181818181816
0.4002713704206242, 0.04935064935064934
0.3772048846675713, 0.07705627705627704
0.34871099050203536, 0.11861471861471862
0.32564450474898243, 0.1463203463203463
0.29579375848032574, 0.1913419913419913
0.26865671641791056, 0.22597402597402594
0.24151967435549526, 0.2502164502164502
0.21166892808683857, 0.28138528138528135
0.1872455902306649, 0.2987012987012987
0.16146540027137046, 0.3194805194805194
0.14111261872455905, 0.3298701298701298
0.11668928086838537, 0.3402597402597402
0.09905020352781557, 0.3506493506493506
0.08005427408412491, 0.3541125541125541
0.05834464043419274, 0.3645021645021645
0.033921302578019064, 0.367965367965368
0.014925373134328401, 0.3748917748917749
